exp,file_num,event_type,start_time_file_sec,stop_time_file_sec,start_time_experiment,stop_time_experiment,start_time_experiment_sec,stop_time_experiment_sec,start_time_real,stop_time_real,RMS_arena_1,RMS_arena_2,RMS_underground,channel,assigned_location,duration_sec,bout_id,position_in_bout
235,1,alarm,45.23,45.245,00:06:45.230,00:06:45.245,405.23008,405.244792,2025-03-21 19:41:35.230080,2025-03-21 19:41:35.244792,-53.6450424194336,-55.83525,-40.15145,30,underground,0.015,,
235,1,alarm,106.397,106.48,00:07:46.397,00:07:46.480,466.3968,466.479736,2025-03-21 19:42:36.396800,2025-03-21 19:42:36.479736,-33.84836196899414,-55.524796,-45.920723,30,arena_1,0.083,,
235,1,alarm,109.602,109.617,00:07:49.602,00:07:49.617,469.60192,469.616632,2025-03-21 19:42:39.601920,2025-03-21 19:42:39.616632,-44.4939079284668,-54.63741,-22.400997,30,underground,0.015,,
235,1,alarm,128.033,128.054,00:08:08.033,00:08:08.054,488.032512,488.054008,2025-03-21 19:42:58.032512,2025-03-21 19:42:58.054008,-51.518802642822266,-55.796146,-23.725792,30,underground,0.021,,
235,1,alarm,150.531,150.583,00:08:30.531,00:08:30.583,510.530944,510.583416,2025-03-21 19:43:20.530944,2025-03-21 19:43:20.583416,-53.66475677490234,-55.800667,-37.99147,30,underground,0.052,,
235,1,alarm,151.059,151.072,00:08:31.059,00:08:31.072,511.059328,511.072376,2025-03-21 19:43:21.059328,2025-03-21 19:43:21.072376,-52.46487045288086,-55.58026,-28.993795,30,underground,0.013,,
235,1,alarm,153.782,153.794,00:08:33.782,00:08:33.794,513.782016,513.793912,2025-03-21 19:43:23.782016,2025-03-21 19:43:23.793912,-52.41043472290039,-55.62487,-28.491962,30,underground,0.012,,
235,1,alarm,166.621,166.641,00:08:46.621,00:08:46.641,526.621056,526.640888,2025-03-21 19:43:36.621056,2025-03-21 19:43:36.640888,-49.90556716918945,-55.619602,-23.366358,30,underground,0.02,,
235,1,alarm,237.292,237.306,00:09:57.292,00:09:57.306,597.291648,597.306488,2025-03-21 19:44:47.291648,2025-03-21 19:44:47.306488,-49.501220703125,-55.585045,-26.3392,30,underground,0.015,,
235,1,alarm,249.275,249.289,00:10:09.275,00:10:09.289,609.274752,609.28908,2025-03-21 19:44:59.274752,2025-03-21 19:44:59.289080,-52.727989196777344,-55.91745,-37.802094,30,underground,0.014,,
235,1,alarm,254.186,254.2,00:10:14.186,00:10:14.200,614.185984,614.200312,2025-03-21 19:45:04.185984,2025-03-21 19:45:04.200312,-52.51978302001953,-55.7288,-29.877966,30,underground,0.014,,
