exp,file_index,channel,bout_id,bout_start_seconds,bout_end_seconds,n_calls,bout_duration_seconds
235,1,30,1.0,106.397,109.617,2,3.2198319999999967
235,1,30,2.0,150.531,153.794,3,3.2629680000000008
235,1,30,3.0,249.275,254.2,2,4.925560000000019
235,2,30,4.0,217.471,220.835,2,3.363448000000062
235,9,30,5.0,114.218,114.784,2,0.5661359999999149
235,9,30,6.0,157.228,159.688,2,2.4600240000004305
235,16,30,7.0,272.43,273.271,2,0.8408239999998841
235,16,10,8.0,304.898,305.041,2,0.14271199999984674
235,17,30,9.0,129.251,132.735,2,3.4838959999997314
235,21,30,10.0,331.39,331.479,2,0.08831199999985984
235,25,30,11.0,69.442,72.817,5,3.3743279999998776
235,25,30,12.0,229.863,240.668,3,10.805495999999039
235,28,30,13.0,107.521,116.603,9,9.081591999998636
235,28,30,14.0,127.122,147.222,9,20.09944799999903
235,36,30,15.0,146.116,153.828,16,7.712503999999171
235,38,30,16.0,14.973,18.62,4,3.6463280000007217
235,38,30,17.0,171.049,231.387,65,60.338167999998404
235,38,30,18.0,332.833,350.164,7,17.330807999998797
235,39,30,19.0,9.142,15.281,2,6.139384000000064
235,55,30,20.0,213.661,213.741,2,0.08076000000073691
235,56,30,21.0,238.174,261.418,5,23.243768000000273
235,59,10,22.0,201.867,213.709,21,11.841655999996874
235,59,30,23.0,353.908,355.221,3,1.3137839999981225
235,61,30,24.0,172.032,174.579,2,2.5470640000021376
235,85,30,25.0,263.808,311.54,25,47.73196000000098
235,87,30,26.0,64.153,65.875,4,1.7222320000000764
235,88,30,27.0,204.68,205.969,3,1.2888239999992948
235,88,30,28.0,228.495,246.563,11,18.068472000002657
235,89,30,29.0,3.666,11.342,6,7.676535999999032
235,90,30,30.0,317.311,339.855,41,22.543863999999303
235,96,30,31.0,229.899,230.256,2,0.3562160000001313
235,99,30,32.0,148.413,148.516,2,0.10239200000069104
235,99,30,33.0,160.688,170.049,2,9.360759999995935
235,100,30,34.0,36.282,72.079,43,35.79647200000181
235,102,30,35.0,88.852,94.214,12,5.361272000001918
235,111,30,36.0,121.43,125.377,2,3.9468720000004396
235,112,30,37.0,31.599,39.093,2,7.494520000000193
235,121,30,38.0,208.507,216.343,4,7.835383999998157
235,124,10,39.0,57.352,62.83,2,5.478519999996934
235,127,30,40.0,14.49,23.766,2,9.275895999999193
235,128,30,41.0,268.183,277.317,13,9.134200000000419
235,129,30,42.0,47.208,50.318,5,3.110264000002644
235,131,30,43.0,309.524,310.291,3,0.7676079999946523
235,134,30,44.0,52.6,55.497,2,2.896760000003269
235,134,20,45.0,193.772,201.326,3,7.554680000001099
235,137,30,46.0,4.206,4.636,2,0.4296879999965313
235,138,30,47.0,177.451,213.408,25,35.95711200000369
235,138,30,48.0,235.631,249.819,21,14.18802400000277
235,141,30,49.0,240.069,240.164,2,0.0950959999972838
235,142,30,50.0,336.464,336.603,2,0.13887200000317534
235,143,30,51.0,111.452,117.79,2,6.338552000001073
235,155,30,52.0,137.228,140.009,2,2.7810480000043754
235,159,30,53.0,0.0,358.71,108,74.3642800000016
